position_action,angle_action,gripper_position,gripper_angle,gripper_velocity,gripper_angular_velocity,target_position,target_angle,target_velocity,target_angular_velocity,closest_point,contact_force,rewards,finger1_min_dists,finger2_min_dists,finger3_min_dists,num_contact_points,fingertip_num_contact_points,accumulated_contact_force,totalLateralFrictionForce
[0.32597363 0.988117   0.7173207 ],[-0.04129171  0.00138128  0.01390052],[0.00995826 0.0613321  1.05068448],[0.00498296 0.17801058 0.07747699],[0.15646729 0.47429611 0.34431436],[-0.19496496 -0.00841877  0.101802  ],[0.15324256 0.97846322 1.19334236],[ 0. -0.  0.],[0.08260683 0.0478983  0.00211918],[0. 0. 0.],0.7650235455786022,0,1.1881896221435024,[0.74865554 0.72297609 0.69240694],[0.74158849 0.71623863 0.68453519],[0.70820374 0.68310179 0.65292082],0,[0 0 0],0,[0 0 0]
[0.33553767 0.9881203  0.70881593],[-4.0589392e-02 -5.1617622e-05  1.3809681e-02],[0.01062933 0.06330834 1.05210211],[0.00417133 0.17800971 0.07775317],[0.16105803 0.47429772 0.3402321 ],[-0.19111961 -0.01507316  0.10077575],[0.15358669 0.97866276 1.19335119],[ 0. -0.  0.],[0.08259174 0.04788955 0.0021188 ],[0. 0. 0.],0.7630601880259372,0,1.1893126067063746,[0.7466443  0.72096348 0.69039811],[0.73955662 0.71420561 0.68250338],[0.70628552 0.68117816 0.65099586],0,[0 0 0],0,[0 0 0]
[0.34477437 0.9881226  0.70021605],[-0.03997523 -0.00114143  0.01375592],[0.01131888 0.06528459 1.05350254],[0.00337199 0.17798704 0.07802829],[0.16549165 0.47429879 0.33610418],[-0.18781488 -0.02011563  0.0999964 ],[0.15393076 0.97886226 1.19336001],[ 0. -0.  0.],[0.08257666 0.04788081 0.00211841],[0. 0. 0.],0.7611009357984123,0,1.1904518283780865,[0.74463468 0.71895255 0.68839068],[0.73752824 0.71217619 0.68047484],[0.70437094 0.67925829 0.64907428],0,[0 0 0],0,[0 0 0]
[0.35369158 0.9881238  0.69152725],[-0.03943133 -0.00194263  0.01372862],[0.01202626 0.06726083 1.0548856 ],[0.00258353 0.17794835 0.07830287],[0.1697719  0.47429937 0.33193356],[-0.18494733 -0.02380095  0.09939948],[0.15427477 0.97906173 1.19336884],[ 0. -0.  0.],[0.08256159 0.04787207 0.00211802],[0. 0. 0.],0.7591456762999467,0,1.1916021892490876,[0.74262702 0.71694362 0.686385  ],[0.73550367 0.71015071 0.67844991],[0.7024598  0.67734197 0.64715591],0,[0 0 0],0,[0 0 0]
[0.36229527 0.9881239  0.68275714],[-0.03895241 -0.00249875  0.01372433],[0.01275085 0.06923708 1.05625112],[0.00180465 0.17789853 0.07857738],[0.17390168 0.47429941 0.32772394],[-0.18247641 -0.02633578  0.09896508],[0.15461871 0.97926116 1.19337766],[ 0. -0.  0.],[0.08254651 0.04786333 0.00211764],[0. 0. 0.],0.7571942990009946,0,1.192759365824147,[0.74062162 0.71493701 0.68438137],[0.73348322 0.70812946 0.67642891],[0.70055189 0.67542904 0.64524057],0,[0 0 0],0,[0 0 0]
[0.370543  0.9881233 0.6737981],[-0.03855962 -0.00280726  0.01373458],[0.01349194 0.07121333 1.05759871],[0.00103352 0.17784252 0.07885212],[0.17786066 0.47429919 0.32342306],[-0.18053085 -0.0277259   0.09868261],[0.15496259 0.97946055 1.19338648],[ 0. -0.  0.],[0.08253144 0.04785459 0.00211725],[0. 0. 0.],0.7552466942522212,0,1.1939190613914605,[0.73861888 0.71293316 0.68238026],[0.73146732 0.7061129  0.6744123 ],[0.69864701 0.67351926 0.64332809],0,[0 0 0],0,[0 0 0]
[0.37810838 0.9881265  0.66388917],[-0.03845513 -0.00264585  0.013749  ],[0.01424816 0.07318958 1.05892649],[0.00026449 0.17778972 0.07912714],[0.18149206 0.47430071 0.31866678],[-0.18009119 -0.02696463  0.09865279],[0.15530641 0.97965991 1.1933953 ],[ 0. -0.  0.],[0.08251638 0.04784585 0.00211686],[0. 0. 0.],0.7533027396405011,0,1.1950731086062358,[0.73662024 0.7109335  0.68038313],[0.72945744 0.70410251 0.6724016 ],[0.69674458 0.67161171 0.64141799],0,[0 0 0],0,[0 0 0]
[0.38601518 0.98812914 0.6538124 ],[-0.03781736 -0.00275826  0.01387715],[0.01502019 0.07516584 1.06023412],[-0.00049179  0.17773469  0.07940473],[0.18528731 0.474302   0.31382993],[-0.17704061 -0.02731377  0.09871705],[0.15565016 0.97985923 1.19340412],[ 0. -0.  0.],[0.08250131 0.04783712 0.00211648],[0. 0. 0.],0.7513627461895097,0,1.1962252750220133,[0.73462447 0.70893677 0.67838869],[0.72745216 0.70209684 0.67039534],[0.6948455  0.66970707 0.63951108],0,[0 0 0],0,[0 0 0]
[0.39559972 0.98813224 0.6433741 ],[-0.03644705 -0.00343025  0.01436591],[0.01581139 0.0771421  1.06152086],[-0.00122068  0.17766621  0.0796921 ],[0.18988789 0.47430348 0.30881955],[-0.17032708 -0.03006416  0.09989124],[0.15599386 0.98005852 1.19341294],[ 0. -0.  0.],[0.08248625 0.04782838 0.00211609],[0. 0. 0.],0.7494269943133531,0,1.1973825766583408,[0.73262987 0.70694122 0.67639519],[0.72544941 0.70009378 0.6683914 ],[0.69295098 0.66780682 0.63760844],0,[0 0 0],0,[0 0 0]
[0.4053402 0.9881277 0.6323378],[-0.03695738 -0.0028044   0.01509857],[0.01662207 0.07911836 1.06278554],[-0.00195965  0.17761029  0.0799941 ],[0.19456323 0.47430125 0.30352265],[-0.17293734 -0.02730056  0.1038179 ],[0.15633749 0.98025776 1.19342175],[ 0. -0.  0.],[0.08247119 0.04781965 0.0021157 ],[0. 0. 0.],0.7474936918663805,0,1.1985212628837139,[0.73064185 0.70495235 0.6744083 ],[0.72345467 0.6980989  0.66639555],[0.69105724 0.66590766 0.63570679],0,[0 0 0],0,[0 0 0]
[0.41626656 0.9880986  0.6196022 ],[-0.04066968  0.0002389   0.01651323],[0.0174546  0.08109456 1.06402475],[-0.00277299  0.17761524  0.08032437],[0.19980797 0.47428734 0.29740905],[-0.19160788 -0.01420076  0.11375359],[0.15668105 0.98045698 1.19343057],[ 0. -0.  0.],[0.08245613 0.04781092 0.00211532],[0. 0. 0.],0.7455596918173808,0,1.1995944976905517,[0.72867011 0.70298012 0.67243833],[0.72147763 0.69612211 0.66441807],[0.68915775 0.66400351 0.63380048],0,[0 0 0],0,[0 0 0]
[0.4262451  0.98806906 0.60665154],[-0.04145217  0.00248206  0.01663089],[0.01830709 0.08307069 1.06523805],[-0.00360197  0.17766505  0.08065697],[0.20459766 0.47427312 0.29119272],[-0.19615064 -0.00382823  0.11497983],[0.15702456 0.98065615 1.19343938],[ 0. -0.  0.],[0.08244108 0.04780219 0.00211493],[0. 0. 0.],0.7436287311368666,0,1.2006244641546737,[0.726706   0.70101574 0.67047596],[0.71951118 0.69415623 0.66245119],[0.68725838 0.66209993 0.63189441],0,[0 0 0],0,[0 0 0]
[0.4359113  0.98803926 0.5935656 ],[-0.04335529  0.00481296  0.01742983],[0.01917891 0.08504677 1.06642518],[-0.00446892  0.17776153  0.08100548],[0.20923738 0.47425878 0.28491192],[-0.2059925   0.00654366  0.12042594],[0.157368   0.98085529 1.19344819],[ 0. -0.  0.],[0.08242603 0.04779347 0.00211454],[0. 0. 0.],0.7416990985641946,0,1.2016046495041113,[0.72475332 0.69906299 0.66852526],[0.71755803 0.69220396 0.66049795],[0.68535678 0.6601947  0.62998669],0,[0 0 0],0,[0 0 0]
[0.4449756 0.9880074 0.5804386],[-0.04390883  0.00682104  0.01755548],[0.02006886 0.08702279 1.06758606],[-0.00534702  0.17789815  0.0813565 ],[0.21358832 0.47424357 0.27861052],[-0.2093977   0.01585949  0.1215251 ],[0.15771138 0.98105439 1.193457  ],[ 0. -0.  0.],[0.08241098 0.04778474 0.00211416],[0. 0. 0.],0.7397725178592613,0,1.2025453206652585,[0.72280794 0.69711775 0.66658183],[0.71561493 0.69026203 0.65855476],[0.68345569 0.65829036 0.62807956],0,[0 0 0],0,[0 0 0]
[0.45366514 0.9879745  0.5672326 ],[-0.04485023  0.00877249  0.01796377],[0.02097619 0.08899874 1.06872052],[-0.00624395  0.1780738   0.08171566],[0.21775929 0.47422775 0.27227163],[-0.21459159  0.02476145  0.12430974],[0.1580547  0.98125346 1.19346581],[ 0. -0.  0.],[0.08239594 0.04777602 0.00211377],[0. 0. 0.],0.7378482981830868,0,1.2034453292859078,[0.72087129 0.69518144 0.66464722],[0.71368278 0.68833133 0.65662267],[0.68155425 0.65638612 0.62617235],0,[0 0 0],0,[0 0 0]
[0.46186423 0.9879396  0.5540184 ],[-0.04513532  0.0105114   0.01806092],[0.02189992 0.09097462 1.06982856],[-0.00714659  0.17828424  0.08207674],[0.22169487 0.47421099 0.26592881],[-0.21661933  0.03289413  0.12505295],[0.15839795 0.98145249 1.19347461],[ 0. -0.  0.],[0.0823809  0.0477673  0.00211339],[0. 0. 0.],0.7359272191408417,0,1.2043106883253722,[0.71894143 0.69325209 0.66271935],[0.71175998 0.68641023 0.65469992],[0.67965377 0.65448321 0.62426616],0,[0 0 0],0,[0 0 0]
[0.469684   0.98790336 0.54078746],[-0.04552627  0.01215541  0.0182656 ],[0.02283929 0.09295042 1.07091014],[-0.00805704  0.17852756  0.08244188],[0.22544835 0.4741936  0.25957796],[-0.21911083  0.04053013  0.12641038],[0.15874114 0.98165149 1.19348342],[ 0. -0.  0.],[0.08236586 0.04775858 0.002113  ],[0. 0. 0.],0.7340089951239105,0,1.205142296658034,[0.71701882 0.69133016 0.66079873],[0.70984673 0.68449894 0.65278678],[0.677754   0.65258138 0.62236079],0,[0 0 0],0,[0 0 0]
[0.47628462 0.98787785 0.5267992 ],[-0.04777408  0.01362097  0.01805425],[0.02379186 0.09492618 1.07196374],[-0.00901234  0.17880022  0.08280274],[0.22861656 0.4741813  0.25286409],[-0.23025398  0.04659621  0.12735153],[0.15908427 0.98185044 1.19349222],[ 0. -0.  0.],[0.08235083 0.04774986 0.00211262],[0. 0. 0.],0.7320923902853348,0,1.2059457573975234,[0.71510821 0.68942048 0.6588903 ],[0.70794819 0.68260277 0.65088866],[0.67585168 0.65067763 0.62045337],0,[0 0 0],0,[0 0 0]
