position_action,angle_action,gripper_position,gripper_angle,gripper_velocity,gripper_angular_velocity,target_position,target_angle,target_velocity,target_angular_velocity,closest_point,contact_force,rewards,finger1_min_dists,finger2_min_dists,finger3_min_dists,num_contact_points,fingertip_num_contact_points,accumulated_contact_force,totalLateralFrictionForce
[0.37773514 0.9655571  0.20100248],[-0.00739735 -0.01216102 -0.00840688],[0.20238926 0.50952929 1.11225091],[-0.051819    0.2221047   0.10191038],[0.18131281 0.46346735 0.09648117],[-0.02853104 -0.06159387 -0.03253248],[0.23043286 1.02322083 1.19532259],[ 0. -0.  0.],[0.0792297  0.04594012 0.00203255],[0. 0. 0.],0.35426368040950507,0,1.4509557848369952,[0.34858198 0.32777707 0.29752547],[0.34838169 0.32880354 0.2995153 ],[0.29772444 0.27270514 0.2424829 ],0,[0 0 0],0,[0 0 0]
[0.37576878 0.9654454  0.20343685],[-0.0077824  -0.0124712  -0.00825906],[0.2031408  0.51146018 1.11265778],[-0.05197473  0.2218553   0.10174516],[0.18036896 0.46341375 0.09764967],[-0.03018594 -0.06325389 -0.03142436],[0.23076293 1.02341221 1.19533105],[ 0. -0.  0.],[0.07921528 0.04593177 0.00203218],[0. 0. 0.],0.3525006375310988,0,1.4527978110421125,[0.34683263 0.32605441 0.29582797],[0.34664501 0.3271089  0.29785359],[0.29597627 0.27095811 0.24073454],0,[0 0 0],0,[0 0 0]
[0.37386346 0.96533465 0.20583117],[-0.00809234 -0.01277786 -0.00814033],[0.20388853 0.51339085 1.11306944],[-0.05213667  0.22159976  0.10158231],[0.1794544  0.4633606  0.09879894],[-0.0314936  -0.06486094 -0.03053631],[0.23109293 1.02360356 1.19533952],[ 0. -0.  0.],[0.07920087 0.04592341 0.00203181],[0. 0. 0.],0.35073726839603797,0,1.4546446905794985,[0.34508272 0.3243313  0.29413125],[0.34490701 0.32541377 0.29619166],[0.29422774 0.26921076 0.23898593],0,[0 0 0],0,[0 0 0]
[0.37201703 0.96522474 0.20818949],[-0.00835568 -0.01307714 -0.00804043],[0.20463256 0.5153213  1.11348582],[-0.05230393  0.2213382   0.1014215 ],[0.17856819 0.46330785 0.0999304 ],[-0.03259932 -0.0664192  -0.0297783 ],[0.23142287 1.02379487 1.19534798],[ 0. -0.  0.],[0.07918646 0.04591505 0.00203144],[0. 0. 0.],0.3489736446861083,0,1.456496546558091,[0.34333214 0.32260762 0.29243512],[0.34316777 0.32371804 0.29452937],[0.29247897 0.26746316 0.23723712],0,[0 0 0],0,[0 0 0]
[0.3702314  0.965116   0.21051085],[-0.0085761  -0.01337105 -0.00795686],[0.20537302 0.51725154 1.11390684],[-0.0524756   0.22107076  0.10126235],[0.17771109 0.46325564 0.10104464],[-0.03349777 -0.06792259 -0.02915484],[0.23175276 1.02398615 1.19535645],[ 0. -0.  0.],[0.07917206 0.0459067  0.00203107],[0. 0. 0.],0.3472098393899601,0,1.458353493387936,[0.34158082 0.32088326 0.29073948],[0.34142754 0.32202159 0.29286663],[0.29073    0.26571538 0.23548819],0,[0 0 0],0,[0 0 0]
[0.36850524 0.965008   0.21279728],[-0.00876868 -0.01366115 -0.00788331],[0.20611003 0.51918155 1.11433243],[-0.05265113  0.22079752  0.10110468],[0.17688253 0.46320378 0.10214213],[-0.03426825 -0.06939422 -0.02860974],[0.23208258 1.02417739 1.19536491],[ 0. -0.  0.],[0.07915765 0.04589835 0.0020307 ],[0. 0. 0.],0.345445904463103,0,1.4602155891750308,[0.33982871 0.31915816 0.28904424],[0.33968628 0.32032439 0.29120338],[0.2889809  0.26396748 0.23373917],0,[0 0 0],0,[0 0 0]
[0.36683702 0.96490073 0.21504939],[-0.00893724 -0.01394707 -0.00781852],[0.20684371 0.52111135 1.11476253],[-0.05283003  0.22051856  0.1009483 ],[0.17608179 0.46315228 0.10322313],[-0.03492915 -0.07083435 -0.02813273],[0.23241235 1.0243686  1.19537337],[ 0. -0.  0.],[0.07914325 0.04589    0.00203033],[0. 0. 0.],0.34368188763575436,0,1.462082865957207,[0.33807578 0.31743283 0.28734929],[0.33794399 0.31862639 0.28953958],[0.28723171 0.2622195  0.23199011],0,[0 0 0],0,[0 0 0]
[0.36522865 0.96479464 0.21726692],[-0.00908786 -0.01422989 -0.00775957],[0.20757417 0.52304094 1.11519706],[-0.05301194  0.22023394  0.10079311],[0.17530977 0.46310137 0.10428754],[-0.03550815 -0.072251   -0.02770338],[0.23274205 1.02455978 1.19538183],[ 0. -0.  0.],[0.07912886 0.04588165 0.00202996],[0. 0. 0.],0.3419178282154089,0,1.4639553357006245,[0.33632198 0.3157075  0.28565408],[0.33620062 0.31692756 0.2878752 ],[0.28548245 0.26047146 0.23024102],0,[0 0 0],0,[0 0 0]
[0.36367595 0.96468925 0.21945202],[-0.00922376 -0.01450843 -0.00770569],[0.20830152 0.52497032 1.11563596],[-0.05319654  0.21994375  0.10063899],[0.17456449 0.46305076 0.10533644],[-0.03601439 -0.07363897 -0.02731627],[0.23307169 1.02475091 1.19539028],[ 0. -0.  0.],[0.07911446 0.0458733  0.00202959],[0. 0. 0.],0.34015376444747547,0,1.465832977913159,[0.33456731 0.31398214 0.28395845],[0.33445618 0.31522787 0.28621022],[0.28373315 0.25872339 0.22849194],0,[0 0 0],0,[0 0 0]
[0.3621781  0.9645846  0.22160459],[-0.00934964 -0.0147835  -0.00765526],[0.20902587 0.52689949 1.11607917],[-0.05338366  0.21964807  0.10048588],[0.17384551 0.46300051 0.10636968],[-0.03648253 -0.07500666 -0.02695509],[0.23340128 1.02494202 1.19539874],[ 0. -0.  0.],[0.07910007 0.04586496 0.00202922],[0. 0. 0.],0.3383897266710143,0,1.467715752887981,[0.33281176 0.31225671 0.28226241],[0.33271065 0.31352734 0.28454466],[0.28198382 0.2569753  0.22674287],0,[0 0 0],0,[0 0 0]
[0.36073577 0.9644809  0.22372532],[-0.00946558 -0.01505476 -0.0076071 ],[0.20974735 0.52882845 1.11652662],[-0.0535731   0.21934695  0.10033373],[0.1731532  0.46295071 0.10738763],[-0.0369066  -0.07635137 -0.02661577],[0.2337308  1.02513309 1.19540719],[ 0. -0.  0.],[0.07908568 0.04585662 0.00202885],[0. 0. 0.],0.3366257451379421,0,1.469603610640386,[0.33105533 0.31053078 0.28056594],[0.33096405 0.31182595 0.2828785 ],[0.2802345  0.25522722 0.22499382],0,[0 0 0],0,[0 0 0]
[0.35934687 0.9643779  0.22581542],[-0.00957513 -0.01532233 -0.00756097],[0.21046604 0.5307572  1.11697825],[-0.05376473  0.21904049  0.10018251],[0.17248652 0.46290127 0.10839088],[-0.03730303 -0.07767532 -0.02629344],[0.23406026 1.02532412 1.19541564],[ 0. -0.  0.],[0.07907129 0.04584828 0.00202848],[0. 0. 0.],0.33486184740695313,0,1.4714964895498104,[0.329298   0.30880414 0.27886905],[0.32921637 0.31012372 0.28121177],[0.27848517 0.25347914 0.22324481],0,[0 0 0],0,[0 0 0]
[0.35800838 0.9642757  0.2278744 ],[-0.00967872 -0.01558608 -0.00751609],[0.21118206 0.53268576 1.11743399],[-0.05395843  0.21872875  0.10003218],[0.17184406 0.46285224 0.1093792 ],[-0.0376739  -0.07897818 -0.02598391],[0.23438967 1.02551512 1.19542409],[ 0. -0.  0.],[0.07905691 0.04583994 0.00202811],[0. 0. 0.],0.3330980601159122,0,1.4733943193055858,[0.32753979 0.3070768  0.27717174],[0.32746762 0.30842064 0.27954447],[0.27673587 0.25173109 0.22149585],0,[0 0 0],0,[0 0 0]
[0.35672116 0.96417415 0.22990406],[-0.00977862 -0.01584554 -0.0074724 ],[0.2118955 0.5346141 1.1178938],[-0.05415412  0.21841182  0.09988273],[0.17122619 0.46280351 0.11035344],[-0.03802997 -0.08025873 -0.0256845 ],[0.23471901 1.02570609 1.19543254],[ 0. -0.  0.],[0.07904253 0.0458316  0.00202775],[0. 0. 0.],0.3313344083737651,0,1.47529701328247,[0.32578071 0.30534878 0.27547404],[0.32571781 0.30671674 0.27787663],[0.27498657 0.24998306 0.21974693],0,[0 0 0],0,[0 0 0]
[0.35548282 0.9640734  0.23190415],[-0.00987446 -0.01610166 -0.00742942],[0.21260647 0.53654225 1.1183576 ],[-0.05435173  0.21808977  0.09973414],[0.17063178 0.46275514 0.11131348],[-0.03836914 -0.08152138 -0.02539327],[0.2350483  1.02589702 1.19544099],[ 0. -0.  0.],[0.07902815 0.04582326 0.00202738],[0. 0. 0.],0.3295709172918415,0,1.4772044985239932,[0.32402075 0.30362008 0.27377595],[0.32396695 0.30501203 0.27620827],[0.27323731 0.24823505 0.21799806],0,[0 0 0],0,[0 0 0]
[0.35429275 0.9639733  0.23387527],[-0.00996757 -0.01635408 -0.00738668],[0.21331505 0.5384702  1.11882535],[-0.0545512   0.21776267  0.0995864 ],[0.17006054 0.46270709 0.11225963],[-0.03869767 -0.08276504 -0.02510657],[0.23537752 1.02608791 1.19544944],[ 0. -0.  0.],[0.07901378 0.04581493 0.00202701],[0. 0. 0.],0.32780761084085197,0,1.4791166880395996,[0.32225993 0.30189073 0.27207748],[0.32221505 0.30330653 0.27453941],[0.27148806 0.24648708 0.21624924],0,[0 0 0],0,[0 0 0]
[0.35314822 0.96387386 0.23581886],[-0.0100584  -0.01660162 -0.00734478],[0.21402135 0.54039794 1.11929699],[-0.05475249  0.21743062  0.0994395 ],[0.16951117 0.46265939 0.11319256],[-0.03901838 -0.08398425 -0.02482673],[0.23570668 1.02627877 1.19545788],[ 0. -0.  0.],[0.07899941 0.04580659 0.00202664],[0. 0. 0.],0.32604451308077537,0,1.4810334772497056,[0.32049826 0.30016073 0.27037867],[0.32046212 0.30160024 0.27287008],[0.26973885 0.24473914 0.21450048],0,[0 0 0],0,[0 0 0]
[0.35204923 0.9637749  0.23773456],[-0.01014704 -0.01684606 -0.00730336],[0.21472545 0.54232549 1.11977246],[-0.05495554  0.21709367  0.09929343],[0.16898366 0.46261187 0.11411209],[-0.03933064 -0.08518757 -0.02455199],[0.23603579 1.0264696  1.19546632],[ 0. -0.  0.],[0.07898504 0.04579826 0.00202627],[0. 0. 0.],0.3242816488154481,0,1.4829547876423836,[0.31873574 0.29842966 0.26867952],[0.31870818 0.2998932  0.27120031],[0.26798967 0.24299123 0.21275177],0,[0 0 0],0,[0 0 0]
[0.3501718  0.9637377  0.24076784],[-0.01034451 -0.01671767 -0.00810456],[0.21542579 0.54425297 1.12025399],[-0.05516256  0.2167593   0.09913133],[0.1680825  0.46259406 0.11556807],[-0.0403342  -0.08466111 -0.02820935],[0.23636483 1.02666039 1.19547476],[ 0. -0.  0.],[0.07897067 0.04578993 0.0020259 ],[0. 0. 0.],0.3225194859328403,0,1.4848799147252938,[0.31697086 0.29669514 0.26697791],[0.31695251 0.29818434 0.26952911],[0.26624042 0.24124334 0.21100289],0,[0 0 0],0,[0 0 0]
[0.3476696  0.9637613  0.24486887],[-0.01070005 -0.01633632 -0.00951147],[0.21612113 0.54618049 1.12074373],[-0.05537668  0.21643256  0.09894109],[0.16688143 0.46260539 0.11753666],[-0.04218655 -0.08299604 -0.03461528],[0.23669382 1.02685115 1.1954832 ],[ 0. -0.  0.],[0.07895631 0.0457816  0.00202553],[0. 0. 0.],0.3207582473148984,0,1.4868083571648212,[0.31520244 0.29495579 0.26527223],[0.31519448 0.2964728  0.26785571],[0.26449089 0.2394953  0.20925354],0,[0 0 0],0,[0 0 0]
[0.3426515  0.96371984 0.24746823],[-0.01204759 -0.01637053 -0.00963479],[0.21680643 0.54810793 1.12123866],[-0.05561769  0.21610515  0.09874835],[0.16447264 0.46258538 0.11878455],[-0.04846602 -0.08376922 -0.03384459],[0.23702274 1.02704187 1.19549164],[ 0. -0.  0.],[0.07894195 0.04577327 0.00202516],[0. 0. 0.],0.31899620630483577,0,1.4887345463875117,[0.313435   0.29321804 0.26356837],[0.3134375  0.29476341 0.26618528],[0.2627391  0.23774513 0.2075022 ],0,[0 0 0],0,[0 0 0]
[0.33694267 0.963665   0.24953282],[-0.01285195 -0.01699144 -0.00965875],[0.21748032 0.55003526 1.12173773],[-0.05587482  0.21576533  0.09855513],[0.16173239 0.46255903 0.11977555],[-0.05195219 -0.08709764 -0.03315079],[0.23735161 1.02723256 1.19550008],[ 0. -0.  0.],[0.07892759 0.04576495 0.0020248 ],[0. 0. 0.],0.3172338453835081,0,1.49066930270586,[0.31166805 0.2914814  0.26186603],[0.31168074 0.29305505 0.26451647],[0.26098608 0.23599381 0.20574979],0,[0 0 0],0,[0 0 0]
[0.33144307 0.96361864 0.2516631 ],[-0.01350391 -0.01760399 -0.00974572],[0.2181432  0.5519625  1.12224105],[-0.05614504  0.21541326  0.09836016],[0.15909256 0.46253677 0.12079809],[-0.05473858 -0.09031413 -0.03291915],[0.23768041 1.02742321 1.19550851],[ 0. -0.  0.],[0.07891323 0.04575663 0.00202443],[0. 0. 0.],0.31547135340431964,0,1.4926133723263022,[0.30990116 0.2897453  0.26016498],[0.3099238 0.2913472 0.2628487],[0.25923208 0.23424158 0.20399652],0,[0 0 0],0,[0 0 0]
[0.32609868 0.9635773  0.25374925],[-0.01399183 -0.0181399  -0.00984269],[0.2187954  0.55388965 1.12274855],[-0.05642505  0.21505048  0.09816325],[0.15652724 0.46251692 0.12179947],[-0.05679304 -0.09308801 -0.03290697],[0.23800916 1.02761383 1.19551695],[ 0. -0.  0.],[0.07889888 0.0457483  0.00202406],[0. 0. 0.],0.3137088994914337,0,1.4945660500291882,[0.30813396 0.28800936 0.25846465],[0.30816637 0.28963941 0.26118148],[0.25747739 0.23248869 0.20224264],0,[0 0 0],0,[0 0 0]
[0.32090902 0.9635408  0.25579572],[-0.01436615 -0.0186305  -0.00994074],[0.21943722 0.55581673 1.12326014],[-0.05671256  0.21467789  0.09796437],[0.1540362  0.4624994  0.12278179],[-0.05833783 -0.09559255 -0.03301863],[0.23833784 1.02780441 1.19552538],[ 0. -0.  0.],[0.07888453 0.04573998 0.00202369],[0. 0. 0.],0.31194660179431216,0,1.496526924532074,[0.30636622 0.28627377 0.25676467],[0.30640823 0.28793138 0.25951449],[0.25572218 0.23073534 0.20048831],0,[0 0 0],0,[0 0 0]
[0.31587338 0.96350896 0.25780618],[-0.01464862 -0.01908302 -0.01003891],[0.22006896 0.55774375 1.12377575],[-0.05700563  0.21429624  0.09776355],[0.15161914 0.46248419 0.12374689],[-0.05944632 -0.09787273 -0.03322627],[0.23866647 1.02799496 1.19553381],[ 0. -0.  0.],[0.07887018 0.04573166 0.00202332],[0. 0. 0.],0.3101845626365312,0,1.4984956507377238,[0.30459773 0.28453832 0.25506473],[0.3046492  0.28622283 0.25784741],[0.25396661 0.22898166 0.19873365],0,[0 0 0],0,[0 0 0]
[0.31098926 0.96348166 0.2597829 ],[-0.01486647 -0.01950508 -0.01013356],[0.22069094 0.55967071 1.12429532],[-0.05730306  0.21390615  0.09756083],[0.14927477 0.46247109 0.12469573],[-0.06029209 -0.09997712 -0.03348509],[0.23899503 1.02818547 1.19554224],[ 0. -0.  0.],[0.07885584 0.04572335 0.00202296],[0. 0. 0.],0.30842285194571006,0,1.500471854322985,[0.3028282  0.28280283 0.25336465],[0.30288916 0.28451364 0.25618011],[0.25221077 0.22722774 0.19697877],0,[0 0 0],0,[0 0 0]
[0.30630422 0.9634433  0.2618239 ],[-0.01507634 -0.02012414 -0.0101822 ],[0.22130355 0.5615976  1.12481896],[-0.05760469  0.21350368  0.09735714],[0.14702594 0.46245267 0.12567539],[-0.06101077 -0.10301855 -0.03353249],[0.23932354 1.02837595 1.19555067],[ 0. -0.  0.],[0.0788415  0.04571503 0.00202259],[0. 0. 0.],0.30666148126590836,0,1.502458458437697,[0.30105751 0.28106737 0.25166453],[0.30112802 0.28280372 0.25451247],[0.25045473 0.22547362 0.1952237 ],0,[0 0 0],0,[0 0 0]
[0.3023144  0.96323943 0.26492023],[-0.01574582 -0.02310687 -0.00977659],[0.22190818 0.56352407 1.1253488 ],[-0.05791976  0.21304156  0.09716156],[0.14511078 0.46235473 0.12716151],[-0.06278437 -0.11756148 -0.03093346],[0.23965199 1.0285664  1.19555909],[ 0. -0.  0.],[0.07882716 0.04570672 0.00202222],[0. 0. 0.],0.30489994631318235,0,1.504489761638128,[0.29928695 0.27933442 0.24996674],[0.29936561 0.28109335 0.25284451],[0.24869825 0.22371908 0.19346837],0,[0 0 0],0,[0 0 0]
[0.29895818 0.96307826 0.26771128],[-0.0147683  -0.02742189 -0.01020437],[0.22250609 0.56545023 1.12588423],[-0.05821513  0.21249313  0.09695743],[0.14349988 0.46227754 0.12850142],[-0.05620788 -0.13771932 -0.03402193],[0.23998037 1.02875681 1.19556752],[ 0. -0.  0.],[0.07881283 0.04569841 0.00202185],[0. 0. 0.],0.30314049542545557,0,1.5065996771001013,[0.29751273 0.27759896 0.24826584],[0.29759822 0.27937743 0.25117039],[0.24694463 0.22196729 0.19171554],0,[0 0 0],0,[0 0 0]
[0.29562163 0.9629216  0.2707609 ],[-0.01461595 -0.03073967 -0.01033109],[0.22309734 0.56737607 1.12642575],[-0.05850746  0.21187834  0.09675076],[0.14189832 0.46220233 0.1299652 ],[-0.05399586 -0.15348949 -0.03482611],[0.2403087  1.02894718 1.19557594],[ 0. -0.  0.],[0.07879849 0.0456901  0.00202148],[0. 0. 0.],0.30138212449599827,0,1.508766409782869,[0.29573654 0.27586302 0.24656411],[0.29582764 0.27765838 0.24949297],[0.24519214 0.2202166  0.18996373],0,[0 0 0],0,[0 0 0]
[0.29258025 0.96275854 0.27373135],[-0.01479077 -0.03351533 -0.01066202],[0.2236825  0.56930159 1.12697321],[-0.0588033   0.21120801  0.0965375 ],[0.14043857 0.46212389 0.1313904 ],[-0.05357209 -0.16682748 -0.03627527],[0.24063697 1.02913752 1.19558436],[ 0. -0.  0.],[0.07878416 0.04568179 0.00202112],[0. 0. 0.],0.29962476144829997,0,1.510980994457498,[0.29395889 0.27412679 0.24486219],[0.29405479 0.2759373  0.24781356],[0.2434402  0.21846647 0.1882124 ],0,[0 0 0],0,[0 0 0]
[0.29031372 0.96255755 0.27657068],[-0.01565307 -0.03519487 -0.01175243],[0.22426312 0.5712267  1.12752635],[-0.05911639  0.21050408  0.09630241],[0.13935064 0.46202739 0.1327532 ],[-0.05686979 -0.17523037 -0.04069352],[0.24096518 1.02932783 1.19559278],[ 0. -0.  0.],[0.07876984 0.04567348 0.00202075],[0. 0. 0.],0.29786826381364556,0,1.5132277934477802,[0.29218057 0.27239066 0.24316107],[0.29228159 0.27421643 0.24613495],[0.24168775 0.21671597 0.18646052],0,[0 0 0],0,[0 0 0]
[0.28881598 0.96231675 0.278996  ],[-0.01610464 -0.0357964  -0.01331508],[0.22484076 0.57315134 1.12808434],[-0.05943841  0.20978816  0.09603603],[0.13863163 0.46191201 0.13391809],[-0.05873699 -0.17828554 -0.04780951],[0.24129332 1.0295181  1.1956012 ],[ 0. -0.  0.],[0.07875551 0.04566517 0.00202038],[0. 0. 0.],0.2961134765381007,0,1.5154934760740146,[0.29040045 0.27065263 0.24145875],[0.29050777 0.27249509 0.24445654],[0.23993557 0.21496588 0.1847087 ],0,[0 0 0],0,[0 0 0]
[0.2872777 0.9620745 0.2813592],[-0.0167861  -0.03626639 -0.01446402],[0.22541531 0.57507549 1.12864706],[-0.05977407  0.20906284  0.09574666],[0.13789325 0.46179572 0.1350524 ],[-0.06177073 -0.1808217  -0.05270153],[0.24162141 1.02970834 1.19560962],[ 0. -0.  0.],[0.07874119 0.04565687 0.00202001],[0. 0. 0.],0.2943598484804906,0,1.5177720327174558,[0.28861939 0.26891399 0.23975657],[0.28873385 0.2707742  0.24277931],[0.23818307 0.21321564 0.1829565 ],0,[0 0 0],0,[0 0 0]
[0.28584075 0.9618354  0.28366542],[-0.0173347  -0.03673202 -0.01548314],[0.22598699 0.57699916 1.12921439],[-0.06012078  0.20832818  0.09543692],[0.13720358 0.46168097 0.13615889],[-0.06420288 -0.18328328 -0.05709754],[0.24194944 1.02989854 1.19561803],[ 0. -0.  0.],[0.07872687 0.04564857 0.00201965],[0. 0. 0.],0.2926074013892048,0,1.5200629095729146,[0.28683722 0.2671746  0.2380543 ],[0.28695955 0.26905342 0.24110287],[0.23643048 0.2114654  0.18120412],0,[0 0 0],0,[0 0 0]
[0.28443587 0.96153903 0.286219  ],[-0.01825649 -0.03606081 -0.01594251],[0.22655587 0.57892224 1.12978682],[-0.0604859   0.20760694  0.095118  ],[0.13652926 0.4615386  0.13738458],[-0.06888567 -0.18046897 -0.05844837],[0.24227741 1.03008871 1.19562644],[ 0. -0.  0.],[0.07871256 0.04564027 0.00201928],[0. 0. 0.],0.2908553931602898,0,1.5223417249770925,[0.28505499 0.26543559 0.23635315],[0.28518577 0.267334   0.23942867],[0.23467759 0.20971426 0.17945084],0,[0 0 0],0,[0 0 0]
[0.28282022 0.9611175  0.28929043],[-0.0198577  -0.03348684 -0.01527858],[0.22712151 0.58084447 1.1303654 ],[-0.06088313  0.20693719  0.09481221],[0.1357536  0.46133612 0.1388593 ],[-0.07763154 -0.1688625  -0.05376919],[0.24260532 1.03027884 1.19563486],[ 0. -0.  0.],[0.07869825 0.04563197 0.00201891],[0. 0. 0.],0.2891026717282926,0,1.5245659394715947,[0.28327473 0.26369918 0.23465539],[0.28341414 0.26561819 0.23775928],[0.23292332 0.20796061 0.17769543],0,[0 0 0],0,[0 0 0]
[0.28033662 0.9608557  0.295092  ],[-0.02208883 -0.03198832 -0.01551312],[0.22768218 0.58276618 1.13095558],[-0.06132492  0.20629739  0.09450192],[0.13456162 0.46121061 0.14164357],[-0.08879747 -0.16267347 -0.05271832],[0.24293317 1.03046894 1.19564327],[ 0. -0.  0.],[0.07868394 0.04562367 0.00201855],[0. 0. 0.],0.28734927880846456,0,1.5267568611602482,[0.28149471 0.26196363 0.23295936],[0.28164309 0.2639042  0.23609284],[0.23116679 0.20620359 0.1759369 ],0,[0 0 0],0,[0 0 0]
[0.27820587 0.96059525 0.30082357],[-0.02387339 -0.03081447 -0.01594996],[0.22823859 0.58468737 1.13155723],[-0.0618024   0.20568106  0.0941829 ],[0.13353886 0.46108563 0.14439484],[-0.09773971 -0.15782803 -0.05312662],[0.24326096 1.030659   1.19565168],[ 0. -0.  0.],[0.07866963 0.04561538 0.00201818],[0. 0. 0.],0.28559587066923925,0,1.5289227531913494,[0.27971389 0.26022751 0.23126349],[0.27987157 0.26219069 0.23442783],[0.22940898 0.20444411 0.17417601],0,[0 0 0],0,[0 0 0]
[0.27742493 0.96034825 0.30756974],[-0.02593905 -0.02962917 -0.01602906],[0.22879344 0.58660807 1.13217237],[-0.06232113  0.20508846  0.09386228],[0.13316393 0.46096715 0.14763349],[-0.10798747 -0.15303909 -0.05155787],[0.24358869 1.03084903 1.19566008],[ 0. -0.  0.],[0.07865533 0.04560708 0.00201781],[0. 0. 0.],0.2838418417137442,0,1.531059584954809,[0.27793236 0.2584911  0.229568  ],[0.27809934 0.26047743 0.23276398],[0.22764937 0.20268152 0.17241228],0,[0 0 0],0,[0 0 0]
[0.27863288 0.960116   0.3157171 ],[-0.02828622 -0.02825451 -0.01572454],[0.22935071 0.5885283  1.1328038 ],[-0.06288692  0.20452331  0.0935478 ],[0.13374381 0.46085567 0.15154369],[-0.1196761  -0.14747981 -0.04785916],[0.24391636 1.03103903 1.19566849],[ 0. -0.  0.],[0.07864102 0.04559879 0.00201744],[0. 0. 0.],0.2820865341580806,0,1.5331601361694338,[0.27614986 0.25675425 0.2278726 ],[0.27632598 0.2587638  0.23110056],[0.22588741 0.20091517 0.17064516],0,[0 0 0],0,[0 0 0]
[0.27962327 0.9598663  0.32341456],[-0.03022128 -0.02714825 -0.01563305],[0.22990995 0.59044803 1.13345063],[-0.06349139  0.20398028  0.09323516],[0.13421921 0.46073576 0.15523851],[-0.12928425 -0.14300584 -0.04560775],[0.24424397 1.03122899 1.19567689],[ 0. -0.  0.],[0.07862673 0.0455905  0.00201708],[0. 0. 0.],0.28033068193517074,0,1.5352315497775042,[0.27436572 0.25501601 0.22617625],[0.27455093 0.25704894 0.22943662],[0.22412411 0.19914589 0.16887541],0,[0 0 0],0,[0 0 0]
[0.2805394  0.9596102  0.33097863],[-0.03196281 -0.02639753 -0.01560909],[0.23047103 0.59236725 1.13411258],[-0.06413069  0.20345227  0.09292301],[0.13465895 0.46061283 0.15886925],[-0.13783269 -0.14014161 -0.0438747 ],[0.24457152 1.03141891 1.1956853 ],[ 0. -0.  0.],[0.07861243 0.04558221 0.00201671],[0. 0. 0.],0.27857464975531543,0,1.537280557072548,[0.27257966 0.25327601 0.22447854],[0.27277382 0.25533232 0.22777151],[0.22236002 0.19737412 0.1671034 ],0,[0 0 0],0,[0 0 0]
[0.28120995 0.9593345  0.33852923],[-0.03351176 -0.02665997 -0.01568204],[0.23103345 0.59428592 1.13478964],[-0.06480098  0.202919    0.09260941],[0.13498082 0.46048046 0.1624935 ],[-0.14502722 -0.1420302  -0.04280214],[0.24489902 1.03160881 1.1956937 ],[ 0. -0.  0.],[0.07859814 0.04557392 0.00201634],[0. 0. 0.],0.27681888660982246,0,1.539324943793761,[0.27079142 0.25153414 0.22277923],[0.27099407 0.25361321 0.2261043 ],[0.22059588 0.1956004  0.16532963],0,[0 0 0],0,[0 0 0]
[0.28187656 0.95905566 0.3460331 ],[-0.03488016 -0.026954   -0.01581252],[0.23159721 0.59620403 1.13548171],[-0.06549853  0.20237987  0.09229318],[0.13530072 0.46034672 0.1660959 ],[-0.15134028 -0.14397765 -0.04220076],[0.24522645 1.03179866 1.1957021 ],[ 0. -0.  0.],[0.07858385 0.04556564 0.00201598],[0. 0. 0.],0.27506373829760106,0,1.541365986006163,[0.26900061 0.24978979 0.22107769],[0.26921129 0.25189105 0.22443435],[0.2188322  0.19382507 0.1635544 ],0,[0 0 0],0,[0 0 0]
[0.2825129 0.9587711 0.353387 ],[-0.03612649 -0.02732182 -0.01593536],[0.23216223 0.59812157 1.13618848],[-0.06622101  0.20183338  0.0919745 ],[0.13560617 0.46021011 0.16962579],[-0.15707657 -0.14622937 -0.0416773 ],[0.24555382 1.03198849 1.1957105 ],[ 0. -0.  0.],[0.07856956 0.04555735 0.00201561],[0. 0. 0.],0.2733094427412794,0,1.5434049502123952,[0.2672071  0.24804281 0.2193737 ],[0.26742534 0.25016561 0.22276139],[0.21706938 0.19204922 0.16177793],0,[0 0 0],0,[0 0 0]
[0.28312004 0.9584813  0.36060655],[-0.03725058 -0.02775055 -0.01605904],[0.23272847 0.60003854 1.13690969],[-0.06696595  0.20127831  0.09165335],[0.13589759 0.460071   0.17309117],[-0.16221675 -0.1487156  -0.04128311],[0.24588114 1.03217827 1.19571889],[ 0. -0.  0.],[0.07855527 0.04554907 0.00201525],[0. 0. 0.],0.27155625343309503,0,1.5454429739971065,[0.26541074 0.24629299 0.21766701],[0.26563604 0.24843663 0.2210851 ],[0.21530781 0.19027428 0.16000043],0,[0 0 0],0,[0 0 0]
[0.2842456  0.9581716  0.36854362],[-0.03871089 -0.02915311 -0.01593262],[0.23329696 0.60195488 1.13764678],[-0.0677401   0.20069518  0.09133475],[0.13643786 0.45992235 0.17690096],[-0.16850699 -0.15599805 -0.03937401],[0.24620839 1.03236803 1.19572729],[ 0. -0.  0.],[0.07854099 0.04554079 0.00201488],[0. 0. 0.],0.2698038425582689,0,1.5474923972392705,[0.26361214 0.24454149 0.21595876],[0.26384337 0.24670422 0.21940549],[0.21354723 0.1885     0.15822154],0,[0 0 0],0,[0 0 0]
